"epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch__MAX"
"63","133","133","133","0.18766790628433228","0.18766790628433228","0.18766790628433228","133","133","133","0.1654694378376007","0.1654694378376007","0.1654694378376007","133","133","133","0.2215425670146942","0.2215425670146942","0.2215425670146942"
"64","135","135","135","0.1695292443037033","0.1695292443037033","0.1695292443037033","135","135","135","0.17075228691101074","0.17075228691101074","0.17075228691101074","135","135","135","0.19799678027629852","0.19799678027629852","0.19799678027629852"
"65","137","137","137","0.1719292551279068","0.1719292551279068","0.1719292551279068","137","137","137","0.18640507757663727","0.18640507757663727","0.18640507757663727","137","137","137","0.1587812900543213","0.1587812900543213","0.1587812900543213"
"66","139","139","139","0.15361367166042328","0.15361367166042328","0.15361367166042328","139","139","139","0.15666106343269348","0.15666106343269348","0.15666106343269348","139","139","139","0.2052159607410431","0.2052159607410431","0.2052159607410431"
"67","141","141","141","0.15130683779716492","0.15130683779716492","0.15130683779716492","141","141","141","0.1856205016374588","0.1856205016374588","0.1856205016374588","141","141","141","0.1992245763540268","0.1992245763540268","0.1992245763540268"
"68","143","143","143","0.16074053943157196","0.16074053943157196","0.16074053943157196","143","143","143","0.21008259057998657","0.21008259057998657","0.21008259057998657","143","143","143","0.22035032510757446","0.22035032510757446","0.22035032510757446"
"69","146","146","146","0.14906075596809387","0.14906075596809387","0.14906075596809387","146","146","146","0.18930332362651825","0.18930332362651825","0.18930332362651825","146","146","146","0.2075735330581665","0.2075735330581665","0.2075735330581665"
"70","148","148","148","0.16769343614578247","0.16769343614578247","0.16769343614578247","148","148","148","0.17567078769207","0.17567078769207","0.17567078769207","148","148","148","0.20452553033828735","0.20452553033828735","0.20452553033828735"
"71","150","150","150","0.16117052733898163","0.16117052733898163","0.16117052733898163","150","150","150","0.15126948058605194","0.15126948058605194","0.15126948058605194","150","150","150","0.21647660434246063","0.21647660434246063","0.21647660434246063"
"72","152","152","152","0.1566670835018158","0.1566670835018158","0.1566670835018158","152","152","152","0.16987591981887817","0.16987591981887817","0.16987591981887817","152","152","152","0.2180813103914261","0.2180813103914261","0.2180813103914261"
"73","154","154","154","0.15154767036437988","0.15154767036437988","0.15154767036437988","154","154","154","0.19493743777275085","0.19493743777275085","0.19493743777275085","154","154","154","0.20404449105262756","0.20404449105262756","0.20404449105262756"
"74","156","156","156","0.17995791137218475","0.17995791137218475","0.17995791137218475","156","156","156","0.15449050068855286","0.15449050068855286","0.15449050068855286","156","156","156","0.2206597477197647","0.2206597477197647","0.2206597477197647"
"75","158","158","158","0.17185376584529877","0.17185376584529877","0.17185376584529877","158","158","158","0.18320536613464355","0.18320536613464355","0.18320536613464355","158","158","158","0.20196445286273956","0.20196445286273956","0.20196445286273956"
"76","160","160","160","0.1842687726020813","0.1842687726020813","0.1842687726020813","160","160","160","0.1737101972103119","0.1737101972103119","0.1737101972103119","160","160","160","0.18135593831539154","0.18135593831539154","0.18135593831539154"
"77","162","162","162","0.1821800321340561","0.1821800321340561","0.1821800321340561","162","162","162","0.16867072880268097","0.16867072880268097","0.16867072880268097","162","162","162","0.19520004093647003","0.19520004093647003","0.19520004093647003"
"78","164","164","164","0.16673757135868073","0.16673757135868073","0.16673757135868073","164","164","164","0.1965436190366745","0.1965436190366745","0.1965436190366745","164","164","164","0.18650758266448975","0.18650758266448975","0.18650758266448975"
"79","167","167","167","0.16435015201568604","0.16435015201568604","0.16435015201568604","167","167","167","0.19891370832920074","0.19891370832920074","0.19891370832920074","166","166","166","0.19387947022914886","0.19387947022914886","0.19387947022914886"
"80","169","169","169","0.17873796820640564","0.17873796820640564","0.17873796820640564","169","169","169","0.17874395847320557","0.17874395847320557","0.17874395847320557","168","168","168","0.18352876603603363","0.18352876603603363","0.18352876603603363"
"81","171","171","171","0.1672728955745697","0.1672728955745697","0.1672728955745697","171","171","171","0.19983777403831482","0.19983777403831482","0.19983777403831482","170","170","170","0.2041846215724945","0.2041846215724945","0.2041846215724945"
"82","173","173","173","0.16690807044506073","0.16690807044506073","0.16690807044506073","173","173","173","0.17983512580394745","0.17983512580394745","0.17983512580394745","172","172","172","0.17411255836486816","0.17411255836486816","0.17411255836486816"
"83","175","175","175","0.15309418737888336","0.15309418737888336","0.15309418737888336","175","175","175","0.14771394431591034","0.14771394431591034","0.14771394431591034","174","174","174","0.19696000218391418","0.19696000218391418","0.19696000218391418"
"84","177","177","177","0.1875848025083542","0.1875848025083542","0.1875848025083542","177","177","177","0.17315801978111267","0.17315801978111267","0.17315801978111267","176","176","176","0.22283966839313507","0.22283966839313507","0.22283966839313507"
"85","179","179","179","0.18598295748233795","0.18598295748233795","0.18598295748233795","179","179","179","0.17742232978343964","0.17742232978343964","0.17742232978343964","178","178","178","0.21694988012313843","0.21694988012313843","0.21694988012313843"
"86","181","181","181","0.1921181082725525","0.1921181082725525","0.1921181082725525","181","181","181","0.1689099818468094","0.1689099818468094","0.1689099818468094","180","180","180","0.2330763339996338","0.2330763339996338","0.2330763339996338"
"87","183","183","183","0.19391876459121704","0.19391876459121704","0.19391876459121704","183","183","183","0.18151569366455078","0.18151569366455078","0.18151569366455078","182","182","182","0.2183130383491516","0.2183130383491516","0.2183130383491516"
"88","185","185","185","0.18991407752037048","0.18991407752037048","0.18991407752037048","185","185","185","0.17432186007499695","0.17432186007499695","0.17432186007499695","184","184","184","0.21394145488739014","0.21394145488739014","0.21394145488739014"
"89","188","188","188","0.1881023347377777","0.1881023347377777","0.1881023347377777","188","188","188","0.18180328607559204","0.18180328607559204","0.18180328607559204","187","187","187","0.2197779417037964","0.2197779417037964","0.2197779417037964"
"90","190","190","190","0.1821415275335312","0.1821415275335312","0.1821415275335312","190","190","190","0.1813724786043167","0.1813724786043167","0.1813724786043167","189","189","189","0.2295946329832077","0.2295946329832077","0.2295946329832077"
"91","192","192","192","0.17347459495067596","0.17347459495067596","0.17347459495067596","192","192","192","0.1880165934562683","0.1880165934562683","0.1880165934562683","191","191","191","0.22105449438095093","0.22105449438095093","0.22105449438095093"
"92","194","194","194","0.17964041233062744","0.17964041233062744","0.17964041233062744","194","194","194","0.18064609169960022","0.18064609169960022","0.18064609169960022","193","193","193","0.19544479250907898","0.19544479250907898","0.19544479250907898"
"93","196","196","196","0.18254905939102173","0.18254905939102173","0.18254905939102173","196","196","196","0.1702108383178711","0.1702108383178711","0.1702108383178711","195","195","195","0.19168083369731903","0.19168083369731903","0.19168083369731903"
"94","198","198","198","0.1777714043855667","0.1777714043855667","0.1777714043855667","198","198","198","0.17085382342338562","0.17085382342338562","0.17085382342338562","197","197","197","0.18885038793087006","0.18885038793087006","0.18885038793087006"
"95","200","200","200","0.1573914736509323","0.1573914736509323","0.1573914736509323","200","200","200","0.15742914378643036","0.15742914378643036","0.15742914378643036","199","199","199","0.2148703634738922","0.2148703634738922","0.2148703634738922"
"96","202","202","202","0.15558010339736938","0.15558010339736938","0.15558010339736938","202","202","202","0.1677975207567215","0.1677975207567215","0.1677975207567215","201","201","201","0.19981592893600464","0.19981592893600464","0.19981592893600464"
"97","204","204","204","0.1625170111656189","0.1625170111656189","0.1625170111656189","204","204","204","0.16497278213500977","0.16497278213500977","0.16497278213500977","203","203","203","0.20024345815181732","0.20024345815181732","0.20024345815181732"
"98","206","206","206","0.16395913064479828","0.16395913064479828","0.16395913064479828","206","206","206","0.18348762392997742","0.18348762392997742","0.18348762392997742","205","205","205","0.20936714112758636","0.20936714112758636","0.20936714112758636"
