"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch__MAX"
"77","162","162","162","0.30444228649139404","0.30444228649139404","0.30444228649139404","162","162","162","0.29881930351257324","0.29881930351257324","0.29881930351257324","161","161","161","0.307038813829422","0.307038813829422","0.307038813829422"
"78","164","164","164","0.2983396053314209","0.2983396053314209","0.2983396053314209","164","164","164","0.2955106198787689","0.2955106198787689","0.2955106198787689","163","163","163","0.2942909002304077","0.2942909002304077","0.2942909002304077"
"79","167","167","167","0.2971377670764923","0.2971377670764923","0.2971377670764923","167","167","167","0.2964395582675934","0.2964395582675934","0.2964395582675934","166","166","166","0.30039292573928833","0.30039292573928833","0.30039292573928833"
"80","169","169","169","0.30390438437461853","0.30390438437461853","0.30390438437461853","169","169","169","0.29357829689979553","0.29357829689979553","0.29357829689979553","168","168","168","0.2992500960826874","0.2992500960826874","0.2992500960826874"
"81","171","171","171","0.305054634809494","0.305054634809494","0.305054634809494","171","171","171","0.3007449805736542","0.3007449805736542","0.3007449805736542","170","170","170","0.30005523562431335","0.30005523562431335","0.30005523562431335"
"82","173","173","173","0.3050294518470764","0.3050294518470764","0.3050294518470764","173","173","173","0.2975061237812042","0.2975061237812042","0.2975061237812042","172","172","172","0.2912464439868927","0.2912464439868927","0.2912464439868927"
"83","175","175","175","0.30132827162742615","0.30132827162742615","0.30132827162742615","175","175","175","0.30336636304855347","0.30336636304855347","0.30336636304855347","174","174","174","0.3002133369445801","0.3002133369445801","0.3002133369445801"
"84","177","177","177","0.30231863260269165","0.30231863260269165","0.30231863260269165","177","177","177","0.2987741231918335","0.2987741231918335","0.2987741231918335","176","176","176","0.2997312545776367","0.2997312545776367","0.2997312545776367"
"85","179","179","179","0.29398077726364136","0.29398077726364136","0.29398077726364136","179","179","179","0.29574355483055115","0.29574355483055115","0.29574355483055115","178","178","178","0.29822155833244324","0.29822155833244324","0.29822155833244324"
"86","181","181","181","0.2999368906021118","0.2999368906021118","0.2999368906021118","181","181","181","0.30260106921195984","0.30260106921195984","0.30260106921195984","180","180","180","0.2938658595085144","0.2938658595085144","0.2938658595085144"
"87","183","183","183","0.3086075782775879","0.3086075782775879","0.3086075782775879","183","183","183","0.29642730951309204","0.29642730951309204","0.29642730951309204","182","182","182","0.29460787773132324","0.29460787773132324","0.29460787773132324"
"88","185","185","185","0.29608842730522156","0.29608842730522156","0.29608842730522156","185","185","185","0.298658162355423","0.298658162355423","0.298658162355423","184","184","184","0.29271191358566284","0.29271191358566284","0.29271191358566284"
"89","188","188","188","0.3035242259502411","0.3035242259502411","0.3035242259502411","188","188","188","0.306498259305954","0.306498259305954","0.306498259305954","187","187","187","0.28826189041137695","0.28826189041137695","0.28826189041137695"
"90","190","190","190","0.2853507995605469","0.2853507995605469","0.2853507995605469","190","190","190","0.29717519879341125","0.29717519879341125","0.29717519879341125","189","189","189","0.29753929376602173","0.29753929376602173","0.29753929376602173"
"91","192","192","192","0.3012928366661072","0.3012928366661072","0.3012928366661072","192","192","192","0.30178847908973694","0.30178847908973694","0.30178847908973694","191","191","191","0.29260018467903137","0.29260018467903137","0.29260018467903137"
"92","194","194","194","0.2957911193370819","0.2957911193370819","0.2957911193370819","194","194","194","0.29541826248168945","0.29541826248168945","0.29541826248168945","193","193","193","0.2872592806816101","0.2872592806816101","0.2872592806816101"
"93","196","196","196","0.3004535734653473","0.3004535734653473","0.3004535734653473","196","196","196","0.2944127917289734","0.2944127917289734","0.2944127917289734","195","195","195","0.29261764883995056","0.29261764883995056","0.29261764883995056"
"94","198","198","198","0.3060619831085205","0.3060619831085205","0.3060619831085205","198","198","198","0.30351272225379944","0.30351272225379944","0.30351272225379944","197","197","197","0.29037413001060486","0.29037413001060486","0.29037413001060486"
"95","200","200","200","0.30667951703071594","0.30667951703071594","0.30667951703071594","200","200","200","0.3004012107849121","0.3004012107849121","0.3004012107849121","199","199","199","0.28055378794670105","0.28055378794670105","0.28055378794670105"
