"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MAX"
"54","114","114","114","0.47274038195610046","0.47274038195610046","0.47274038195610046","114","114","114","0.42175865173339844","0.42175865173339844","0.42175865173339844","113","113","113","0.4573425352573395","0.4573425352573395","0.4573425352573395"
"55","116","116","116","0.5165409445762634","0.5165409445762634","0.5165409445762634","116","116","116","0.4323241412639618","0.4323241412639618","0.4323241412639618","115","115","115","0.4542278051376343","0.4542278051376343","0.4542278051376343"
"56","118","118","118","0.47185224294662476","0.47185224294662476","0.47185224294662476","118","118","118","0.44393765926361084","0.44393765926361084","0.44393765926361084","117","117","117","0.4166301488876343","0.4166301488876343","0.4166301488876343"
"57","120","120","120","0.49194133281707764","0.49194133281707764","0.49194133281707764","120","120","120","0.44476714730262756","0.44476714730262756","0.44476714730262756","119","119","119","0.4475993812084198","0.4475993812084198","0.4475993812084198"
"58","122","122","122","0.43869245052337646","0.43869245052337646","0.43869245052337646","122","122","122","0.43473485112190247","0.43473485112190247","0.43473485112190247","121","121","121","0.4532754421234131","0.4532754421234131","0.4532754421234131"
"59","125","125","125","0.4156186282634735","0.4156186282634735","0.4156186282634735","125","125","125","0.4465491473674774","0.4465491473674774","0.4465491473674774","124","124","124","0.4448145925998688","0.4448145925998688","0.4448145925998688"
"60","127","127","127","0.44610849022865295","0.44610849022865295","0.44610849022865295","127","127","127","0.4406394958496094","0.4406394958496094","0.4406394958496094","126","126","126","0.4230492413043976","0.4230492413043976","0.4230492413043976"
"61","129","129","129","0.4638053774833679","0.4638053774833679","0.4638053774833679","129","129","129","0.46736323833465576","0.46736323833465576","0.46736323833465576","128","128","128","0.42990002036094666","0.42990002036094666","0.42990002036094666"
"62","131","131","131","0.4380685091018677","0.4380685091018677","0.4380685091018677","131","131","131","0.4327066242694855","0.4327066242694855","0.4327066242694855","130","130","130","0.44902345538139343","0.44902345538139343","0.44902345538139343"
"63","133","133","133","0.45008158683776855","0.45008158683776855","0.45008158683776855","133","133","133","0.48113346099853516","0.48113346099853516","0.48113346099853516","132","132","132","0.4614241123199463","0.4614241123199463","0.4614241123199463"
"64","135","135","135","0.45212897658348083","0.45212897658348083","0.45212897658348083","135","135","135","0.47751402854919434","0.47751402854919434","0.47751402854919434","134","134","134","0.4513912498950958","0.4513912498950958","0.4513912498950958"
"65","137","137","137","0.4931349754333496","0.4931349754333496","0.4931349754333496","137","137","137","0.5156577229499817","0.5156577229499817","0.5156577229499817","136","136","136","0.43397608399391174","0.43397608399391174","0.43397608399391174"
"66","139","139","139","0.43361911177635193","0.43361911177635193","0.43361911177635193","139","139","139","0.4311262369155884","0.4311262369155884","0.4311262369155884","138","138","138","0.4035101532936096","0.4035101532936096","0.4035101532936096"
"67","141","141","141","0.45048394799232483","0.45048394799232483","0.45048394799232483","141","141","141","0.4342789053916931","0.4342789053916931","0.4342789053916931","140","140","140","0.42131710052490234","0.42131710052490234","0.42131710052490234"
"68","143","143","143","0.44588780403137207","0.44588780403137207","0.44588780403137207","143","143","143","0.5134926438331604","0.5134926438331604","0.5134926438331604","142","142","142","0.47576308250427246","0.47576308250427246","0.47576308250427246"
"69","146","146","146","0.45199471712112427","0.45199471712112427","0.45199471712112427","146","146","146","0.4293411076068878","0.4293411076068878","0.4293411076068878","145","145","145","0.470257043838501","0.470257043838501","0.470257043838501"
"70","148","148","148","0.4211072325706482","0.4211072325706482","0.4211072325706482","148","148","148","0.40060511231422424","0.40060511231422424","0.40060511231422424","147","147","147","0.47920462489128113","0.47920462489128113","0.47920462489128113"
"71","150","150","150","0.4405559301376343","0.4405559301376343","0.4405559301376343","150","150","150","0.43367666006088257","0.43367666006088257","0.43367666006088257","149","149","149","0.4851621687412262","0.4851621687412262","0.4851621687412262"
"72","152","152","152","0.4245469868183136","0.4245469868183136","0.4245469868183136","152","152","152","0.43267929553985596","0.43267929553985596","0.43267929553985596","151","151","151","0.4737696647644043","0.4737696647644043","0.4737696647644043"
