"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MAX"
"49","104","104","104","0.0019047618843615055","0.0019047618843615055","0.0019047618843615055","104","104","104","0.0014285714132711291","0.0014285714132711291","0.0014285714132711291","103","103","103","0.0017460316885262728","0.0017460316885262728","0.0017460316885262728"
"50","106","106","106","0.0020370371639728546","0.0020370371639728546","0.0020370371639728546","106","106","106","0.0010052910074591637","0.0010052910074591637","0.0010052910074591637","105","105","105","0.001243386184796691","0.001243386184796691","0.001243386184796691"
"51","108","108","108","0.0026719574816524982","0.0026719574816524982","0.0026719574816524982","108","108","108","0.0017724867211654782","0.0017724867211654782","0.0017724867211654782","107","107","107","0.0010582010727375746","0.0010582010727375746","0.0010582010727375746"
"52","110","110","110","0.002883597742766142","0.002883597742766142","0.002883597742766142","110","110","110","0.00074074073927477","0.00074074073927477","0.00074074073927477","109","109","109","0.0011640210868790746","0.0011640210868790746","0.0011640210868790746"
"53","112","112","112","0.002619047649204731","0.002619047649204731","0.002619047649204731","112","112","112","0.0014285714132711291","0.0014285714132711291","0.0014285714132711291","111","111","111","0.0017460316885262728","0.0017460316885262728","0.0017460316885262728"
"54","114","114","114","0.0013756613479927182","0.0013756613479927182","0.0013756613479927182","114","114","114","0.0013756613479927182","0.0013756613479927182","0.0013756613479927182","113","113","113","0.00148148147854954","0.00148148147854954","0.00148148147854954"
"55","116","116","116","0.0022486771922558546","0.0022486771922558546","0.0022486771922558546","116","116","116","0.0019576719496399164","0.0019576719496399164","0.0019576719496399164","115","115","115","0.0025925925001502037","0.0025925925001502037","0.0025925925001502037"
"56","118","118","118","0.002619047649204731","0.002619047649204731","0.002619047649204731","118","118","118","0.002328042173758149","0.002328042173758149","0.002328042173758149","117","117","117","0.0019047618843615055","0.0019047618843615055","0.0019047618843615055"
"57","120","120","120","0.0022486771922558546","0.0022486771922558546","0.0022486771922558546","120","120","120","0.0025925925001502037","0.0025925925001502037","0.0025925925001502037","119","119","119","0.002513227518647909","0.002513227518647909","0.002513227518647909"
"58","122","122","122","0.0030423281714320183","0.0030423281714320183","0.0030423281714320183","122","122","122","0.0019576719496399164","0.0019576719496399164","0.0019576719496399164","121","121","121","0.0018783068517223","0.0018783068517223","0.0018783068517223"
"59","125","125","125","0.0026455025654286146","0.0026455025654286146","0.0026455025654286146","125","125","125","0.0018518518190830946","0.0018518518190830946","0.0018518518190830946","124","124","124","0.0019841268658638","0.0019841268658638","0.0019841268658638"
"60","127","127","127","0.0025661373510956764","0.0025661373510956764","0.0025661373510956764","127","127","127","0.0017989417538046837","0.0017989417538046837","0.0017989417538046837","126","126","126","0.0016931216232478619","0.0016931216232478619","0.0016931216232478619"
